,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,VIVT3.SA,MULT3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,USIM5.SA,LREN3.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,PETR4.SA,B3SA3.SA,SLCE3.SA,BBDC4.SA,SUZB3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,BEEF3.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,BRAP4.SA,CPFE3.SA,GOLL4.SA,SANB11.SA,ALOS3.SA,RAIZ4.SA,DIRR3.SA,YDUQ3.SA,BPAC11.SA,SMTO3.SA,EQTL3.SA,ENEV3.SA,ELET6.SA,MRVE3.SA,ELET3.SA,MDIA3.SA,SBSP3.SA,TOTS3.SA,EMBR3.SA,FLRY3.SA,NTCO3.SA
2023-10-16,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.1848,0.0000,0.0000,0.0000,0.0310,0.0080,0.0000,0.0000,,0.2662,0.0000,0.0018,0.0000,0.0520,0.0000,0.2260,0.0345,0.0000,,,0.0000,,0.0000,0.0000,0.0046,0.0351,0.0124,,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0647,0.0000,0.0000,,0.0000,0.0378,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,,,,,
2023-10-23,0.0000,,0.0000,0.0000,0.0000,0.0861,0.0000,0.1609,0.0000,0.0000,0.0000,0.0288,0.0000,0.0000,0.0000,,0.2447,0.0000,0.0292,0.0000,0.0597,0.0000,0.1937,0.0369,0.0000,,,0.0000,,0.0000,0.0000,0.0074,0.0021,0.0140,,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0543,0.0000,0.0000,0.0000,0.0000,0.0431,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0391,,,,,
2023-10-30,0.0029,,0.0065,0.0000,0.0000,0.1754,0.0000,0.1438,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.2794,0.0000,0.0573,0.0000,0.0681,0.0000,,0.0968,0.0000,,,0.0000,,0.0000,0.0000,0.0095,0.0000,0.0224,,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0333,0.0000,0.0000,0.0000,0.0000,0.0296,,0.0000,0.0000,0.0278,0.0000,0.0000,0.0000,0.0000,0.0472,,,,,
2023-11-06,0.0000,,0.0110,0.0000,0.0000,0.1686,0.0000,0.1376,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.2920,0.0000,0.0481,0.0000,0.0683,0.0000,,0.0918,0.0000,,0.0191,0.0000,,0.0000,0.0000,0.0149,0.0000,0.0263,,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0298,0.0000,0.0000,0.0000,0.0000,0.0250,,0.0000,0.0000,0.0248,0.0000,0.0000,0.0000,0.0000,0.0426,,,,,
2023-11-13,0.0000,,0.0134,0.0000,0.0000,0.1590,0.0000,0.1193,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.3133,0.0000,0.0486,0.0000,0.0715,0.0000,,0.0812,0.0000,,0.0059,0.0000,,0.0000,0.0000,0.0082,0.0000,0.0212,,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0055,,0.0000,0.0375,,0.0000,,0.0000,0.0203,,0.0000,0.0000,0.0062,0.0000,0.0000,,0.0000,0.0452,0.0056,0.0000,0.0379,0.0000,
2023-11-20,0.0000,,0.0000,0.0000,0.0000,0.1136,0.0000,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.3301,0.0000,0.0256,0.0000,0.0854,0.0000,,0.0881,0.0000,,0.0432,0.0033,,,0.0000,0.0149,0.0000,0.0262,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0442,,0.0000,,,0.0104,0.0000,0.0000,0.0000,0.0073,,0.0000,,0.0000,0.0436,0.0001,0.0000,0.0466,0.0000,0.0000
2023-11-27,0.0000,,0.0000,0.0080,0.0000,0.1243,0.0000,0.1212,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.3361,0.0000,0.0153,0.0000,0.0874,0.0000,,0.0799,0.0000,,0.0465,0.0017,,,0.0000,0.0000,0.0000,0.0269,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0331,,0.0000,,,0.0069,0.0000,0.0000,0.0000,0.0155,,0.0000,,0.0000,0.0448,0.0023,0.0000,0.0500,0.0000,0.0000
2023-12-04,0.0000,,0.0000,0.0127,0.0000,0.1257,0.0000,0.1277,0.0000,0.0000,0.0000,0.0004,0.0000,,,0.0000,0.3371,0.0000,0.0097,0.0000,0.0911,0.0000,,0.0780,0.0000,,0.0524,0.0000,,,0.0000,0.0000,0.0000,0.0266,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0232,,0.0000,,,0.0018,0.0000,0.0000,0.0000,0.0189,,0.0000,,0.0000,0.0450,0.0004,0.0000,0.0494,0.0000,0.0000
2023-12-11,0.0000,,0.0000,0.0149,0.0000,0.1304,0.0000,0.1286,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.3353,0.0000,0.0092,0.0000,0.0913,0.0000,,0.0761,0.0000,,0.0525,0.0000,,,0.0000,0.0000,0.0000,0.0267,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0232,,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0183,,0.0000,,0.0000,0.0460,0.0000,0.0000,0.0476,0.0000,0.0000
2023-12-18,0.0000,,0.0000,0.0245,0.0000,0.1342,0.0000,0.1112,0.0000,0.0000,0.0000,0.0075,0.0000,,,0.0000,0.3464,0.0000,0.0000,,0.0916,0.0000,,0.0667,0.0000,,0.0754,0.0011,,,0.0000,0.0000,0.0000,0.0318,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0074,0.0085,,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0140,,0.0000,,0.0000,0.0341,0.0000,0.0000,0.0454,0.0000,0.0000
