,CMIN3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,USIM5.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,VALE3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,BEEF3.SA,CSAN3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,VBBR3.SA,JBSS3.SA,EZTC3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,BPAC11.SA,CPLE6.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,ECOR3.SA,IGTI11.SA,EQTL3.SA,ENEV3.SA,MDIA3.SA,DIRR3.SA,VIVT3.SA,ELET6.SA,BRAV3.SA,CVCB3.SA,TOTS3.SA,ELET3.SA,AZZA3.SA,BHIA3.SA,FLRY3.SA,RENT3.SA,PSSA3.SA,NTCO3.SA
2023-10-16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2505,0.0000,0.0000,0.0000,0.0018,0.0000,0.0742,0.0000,0.0000,0.0310,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0061,0.0068,,0.0000,0.0000,,,,0.0000,,0.0141,0.0000,0.0000,0.1902,0.0000,,,0.1511,0.0000,0.0000,,0.0000,0.0000,,0.1677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0468,0.0596,,,,,,,,,,,,
2023-10-23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0752,0.0000,0.0000,0.0224,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0015,,0.0000,0.0000,,,,0.0000,,0.0165,0.0000,0.0000,0.1864,0.0000,,,0.1433,0.0000,0.0000,,0.0150,0.0000,,0.1845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0463,0.0579,,,,,,,,,,,,
2023-10-30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0731,0.0000,0.0000,0.0337,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0030,,0.0000,0.0000,,,,0.0000,,0.0278,0.0000,0.0000,0.1805,0.0000,,,0.1199,0.0000,0.0000,,0.0168,0.0000,,0.1881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,0.0669,,,,,,,,,,,,
2023-11-06,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0768,0.0000,0.0000,0.0238,,0.0749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,,0.0000,,0.0194,0.0000,0.0000,0.1792,0.0000,,,0.0773,0.0000,0.0026,,0.0211,0.0000,,0.1761,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0302,0.0619,0.0000,,,,,,,,,,,
2023-11-13,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0613,0.0000,0.0000,0.0230,,0.0699,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,,,0.0000,0.0128,0.0000,,0.1892,0.0000,,0.0000,0.0863,0.0000,0.0082,,0.0288,0.0000,,0.1617,,0.0000,0.0000,,0.0000,0.0000,0.0211,0.0683,0.0184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,
2023-11-20,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2732,,0.0000,,0.0000,0.0000,0.0754,0.0000,0.0000,0.0284,,0.0893,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0112,0.0000,,0.1756,0.0000,,0.0000,0.0887,,0.0028,0.0000,0.0185,0.0000,,0.1570,,0.0000,0.0000,,0.0000,,0.0248,0.0551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
2023-11-27,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2635,,0.0000,,0.0000,0.0000,0.0696,0.0000,0.0000,0.0283,,0.0815,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0009,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0115,0.0000,,0.1735,0.0000,,0.0000,0.1089,,0.0000,0.0000,0.0181,0.0000,,0.1648,,0.0000,0.0000,,0.0000,,0.0262,0.0532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
2023-12-04,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2525,,0.0000,,0.0000,0.0000,0.0679,0.0000,0.0000,0.0316,,0.0729,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0035,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0242,0.0000,,0.1729,0.0000,,0.0000,0.0987,,0.0156,0.0000,0.0093,0.0000,,0.1621,,0.0000,0.0000,,0.0000,,0.0266,0.0622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
2023-12-11,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2451,,0.0000,,0.0000,0.0000,0.0716,0.0000,0.0000,0.0282,,0.0667,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0009,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0289,0.0000,,0.1720,0.0000,,0.0000,0.0949,,0.0120,0.0000,0.0155,0.0000,,0.1735,,0.0000,0.0000,,0.0000,,0.0321,0.0586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
2023-12-18,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2627,,0.0000,,0.0000,0.0000,0.0755,0.0000,0.0000,0.0244,,0.0922,0.0000,0.0000,,0.0000,,0.0000,0.0020,0.0003,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0126,0.0000,,0.1706,0.0000,,0.0000,0.1049,,0.0000,0.0000,0.0176,0.0000,,0.1587,,0.0000,0.0000,,0.0000,,0.0268,0.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
